StatisticsDate,TargetDiseaseCode,TargetDisease,MeasurementType,DailyCount,TotalCount,PopulationCoverage
2021-04-16,219,COVID-19,Vaccinated,8223,285539,21.47
2021-04-17,219,COVID-19,DosesAdministered,2058,371884,
2021-04-17,219,COVID-19,FullyVaccinated,791,90499,6.8
2021-04-17,219,COVID-19,Vaccinated,1324,286863,21.57
2021-04-18,219,COVID-19,DosesAdministered,1407,373291,
2021-04-18,219,COVID-19,FullyVaccinated,477,90976,6.84
2021-04-18,219,COVID-19,Vaccinated,975,287838,21.64
2021-04-19,219,COVID-19,DosesAdministered,2611,375902,
2021-04-19,219,COVID-19,FullyVaccinated,1420,92396,6.95
2021-04-19,219,COVID-19,Vaccinated,1240,289078,21.73
2021-04-20,219,COVID-19,DosesAdministered,4223,380125,
2021-04-20,219,COVID-19,FullyVaccinated,2420,94816,7.13
2021-04-20,219,COVID-19,Vaccinated,1937,291015,21.88
2021-04-21,219,COVID-19,DosesAdministered,5100,385225,
2021-04-21,219,COVID-19,FullyVaccinated,995,95811,7.2
2021-04-21,219,COVID-19,Vaccinated,4284,295299,22.2
2021-04-22,219,COVID-19,DosesAdministered,11584,396809,
2021-04-22,219,COVID-19,FullyVaccinated,3687,99498,7.48
2021-04-22,219,COVID-19,Vaccinated,8203,303502,22.82
2021-04-23,219,COVID-19,DosesAdministered,8909,405718,
2021-04-23,219,COVID-19,FullyVaccinated,3432,102930,7.74
2021-04-23,219,COVID-19,Vaccinated,5699,309201,23.25
2021-04-24,219,COVID-19,DosesAdministered,3068,408786,
2021-04-24,219,COVID-19,FullyVaccinated,2288,105218,7.91
2021-04-24,219,COVID-19,Vaccinated,865,310066,23.31
2021-04-25,219,COVID-19,DosesAdministered,2391,411177,
2021-04-25,219,COVID-19,FullyVaccinated,1240,106458,8
2021-04-25,219,COVID-19,Vaccinated,1208,311274,23.4
2021-04-26,219,COVID-19,DosesAdministered,3230,414407,
2021-04-26,219,COVID-19,FullyVaccinated,1867,108325,8.14
2021-04-26,219,COVID-19,Vaccinated,1453,312727,23.51
2021-04-27,219,COVID-19,DosesAdministered,6836,421243,
2021-04-27,219,COVID-19,FullyVaccinated,3487,111812,8.41
2021-04-27,219,COVID-19,Vaccinated,3483,316210,23.77
2021-04-28,219,COVID-19,DosesAdministered,11208,432451,
2021-04-28,219,COVID-19,FullyVaccinated,4882,116694,8.77
2021-04-28,219,COVID-19,Vaccinated,6646,322856,24.27
2021-04-29,219,COVID-19,DosesAdministered,14770,447221,
2021-04-29,219,COVID-19,FullyVaccinated,7095,123789,9.31
2021-04-29,219,COVID-19,Vaccinated,8219,331075,24.89
2021-04-30,219,COVID-19,DosesAdministered,11862,459083,
2021-04-30,219,COVID-19,FullyVaccinated,6689,130478,9.81
2021-04-30,219,COVID-19,Vaccinated,5622,336697,25.31
2021-05-01,219,COVID-19,DosesAdministered,3014,462097,
2021-05-01,219,COVID-19,FullyVaccinated,2131,132609,9.97
2021-05-01,219,COVID-19,Vaccinated,951,337648,25.39
2021-05-02,219,COVID-19,DosesAdministered,2442,464539,
2021-05-02,219,COVID-19,FullyVaccinated,1000,133609,10.05
2021-05-02,219,COVID-19,Vaccinated,1560,339208,25.5
2021-05-03,219,COVID-19,DosesAdministered,5740,470279,
2021-05-03,219,COVID-19,FullyVaccinated,3578,137187,10.31
2021-05-03,219,COVID-19,Vaccinated,2327,341535,25.68
2021-05-04,219,COVID-19,DosesAdministered,8694,478973,
2021-05-04,219,COVID-19,FullyVaccinated,4002,141189,10.62
2021-05-04,219,COVID-19,Vaccinated,4963,346498,26.05
2021-05-05,219,COVID-19,DosesAdministered,13096,492069,
2021-05-05,219,COVID-19,FullyVaccinated,6267,147456,11.09
2021-05-05,219,COVID-19,Vaccinated,7266,353764,26.6
2021-05-06,219,COVID-19,DosesAdministered,17565,509634,
2021-05-06,219,COVID-19,FullyVaccinated,9648,157104,11.81
2021-05-06,219,COVID-19,Vaccinated,8615,362379,27.25
2021-05-07,219,COVID-19,DosesAdministered,13769,523403,
2021-05-07,219,COVID-19,FullyVaccinated,8068,165172,12.42
2021-05-07,219,COVID-19,Vaccinated,6285,368664,27.72
2021-05-08,219,COVID-19,DosesAdministered,5510,528913,
2021-05-08,219,COVID-19,FullyVaccinated,2604,167776,12.61
2021-05-08,219,COVID-19,Vaccinated,3063,371727,27.95
2021-05-09,219,COVID-19,DosesAdministered,3197,532110,
2021-05-09,219,COVID-19,FullyVaccinated,2126,169902,12.77
2021-05-09,219,COVID-19,Vaccinated,1167,372894,28.04
2021-05-10,219,COVID-19,DosesAdministered,4317,536427,
2021-05-10,219,COVID-19,FullyVaccinated,2353,172255,12.95
2021-05-10,219,COVID-19,Vaccinated,2190,375084,28.2
2021-05-11,219,COVID-19,DosesAdministered,6199,542626,
2021-05-11,219,COVID-19,FullyVaccinated,2724,174979,13.16
2021-05-11,219,COVID-19,Vaccinated,3740,378824,28.48
2021-05-12,219,COVID-19,DosesAdministered,10115,552741,
2021-05-12,219,COVID-19,FullyVaccinated,4633,179612,13.5
2021-05-12,219,COVID-19,Vaccinated,6003,384827,28.93
2021-05-13,219,COVID-19,DosesAdministered,12929,565670,
2021-05-13,219,COVID-19,FullyVaccinated,7759,187371,14.09
2021-05-13,219,COVID-19,Vaccinated,5823,390650,29.37
2021-05-14,219,COVID-19,DosesAdministered,8766,574436,
2021-05-14,219,COVID-19,FullyVaccinated,3283,190654,14.33
2021-05-14,219,COVID-19,Vaccinated,6117,396767,29.83
2021-05-15,219,COVID-19,DosesAdministered,3453,577889,
2021-05-15,219,COVID-19,FullyVaccinated,494,191148,14.37
2021-05-15,219,COVID-19,Vaccinated,3132,399899,30.07
2021-05-16,219,COVID-19,DosesAdministered,963,578852,
2021-05-16,219,COVID-19,FullyVaccinated,134,191282,14.38
2021-05-16,219,COVID-19,Vaccinated,932,400831,30.14
2021-05-17,219,COVID-19,DosesAdministered,6942,585794,
2021-05-17,219,COVID-19,FullyVaccinated,1949,193231,14.53
2021-05-17,219,COVID-19,Vaccinated,5888,406719,30.58
2021-05-18,219,COVID-19,DosesAdministered,7913,593707,
2021-05-18,219,COVID-19,FullyVaccinated,2890,196121,14.75
2021-05-18,219,COVID-19,Vaccinated,5857,412576,31.02
2021-05-19,219,COVID-19,DosesAdministered,8976,602683,
2021-05-19,219,COVID-19,FullyVaccinated,4975,201096,15.12
2021-05-19,219,COVID-19,Vaccinated,5224,417800,31.41
